,first,second,distance
0,CAN,MEX,4155.0
1,CAN,USA,2453.1
2,MEX,USA,1736.5
3,VNM,AUT,8913.8
4,VNM,BEL,9460.1
5,VNM,BGR,8089.0
6,VNM,HRV,8802.4
7,VNM,CYP,7475.1
8,VNM,CZE,8702.2
9,VNM,DNK,8914.1
10,VNM,EST,7926.1
11,VNM,FIN,7935.0
12,VNM,FRA,9784.4
13,VNM,DEU,9119.7
14,VNM,GRC,8396.9
15,VNM,HUN,8424.8
16,VNM,IRL,10115.5
17,VNM,ITA,9068.4
18,VNM,LVA,7987.8
19,VNM,LTU,8053.1
20,VNM,LUX,9352.3
21,VNM,MLT,9109.4
22,VNM,NLD,9286.5
23,VNM,POL,8351.1
24,VNM,PRT,10826.9
25,VNM,ROU,8057.1
26,VNM,SVK,8435.3
27,VNM,SVN,8821.4
28,VNM,ESP,10495.5
29,VNM,SWE,8502.5
30,AUT,BEL,783.3
31,AUT,BGR,1033.5
32,AUT,HRV,293.2
33,AUT,CYP,2134.2
34,AUT,CZE,312.8
35,AUT,DNK,991.5
36,AUT,EST,1543.9
37,AUT,FIN,2009.9
38,AUT,FRA,877.6
39,AUT,DEU,515.6
40,AUT,GRC,1162.8
41,AUT,HUN,505.8
42,AUT,IRL,1639.0
43,AUT,ITA,502.5
44,AUT,LVA,1335.0
45,AUT,LTU,1210.9
46,AUT,LUX,592.4
47,AUT,MLT,1284.4
48,AUT,NLD,790.5
49,AUT,POL,707.0
50,AUT,PRT,1924.2
51,AUT,ROU,902.6
52,AUT,SVK,482.6
53,AUT,SVN,195.5
54,AUT,ESP,1611.7
55,AUT,SWE,1636.1
56,BEL,BGR,1810.3
57,BEL,HRV,1061.8
58,BEL,CYP,2917.5
59,BEL,CZE,825.9
60,BEL,DNK,698.9
61,BEL,EST,1663.7
62,BEL,FIN,1951.6
63,BEL,FRA,557.9
64,BEL,DEU,351.3
65,BEL,GRC,1926.6
66,BEL,HUN,1242.8
67,BEL,IRL,857.4
68,BEL,ITA,1114.4
69,BEL,LVA,1530.0
70,BEL,LTU,1439.5
71,BEL,LUX,195.7
72,BEL,MLT,1872.5
73,BEL,NLD,221.4
74,BEL,POL,1116.1
75,BEL,PRT,1570.2
76,BEL,ROU,1635.5
77,BEL,SVK,1138.4
78,BEL,SVN,973.1
79,BEL,ESP,1356.5
80,BEL,SWE,1411.3
81,BGR,HRV,796.5
82,BGR,CYP,1126.7
83,BGR,CZE,1045.8
84,BGR,DNK,1800.1
85,BGR,EST,1782.4
86,BGR,FIN,2338.6
87,BGR,FRA,1849.7
88,BGR,DEU,1500.9
89,BGR,GRC,511.6
90,BGR,HUN,594.0
91,BGR,IRL,2667.7
92,BGR,ITA,991.2
93,BGR,LVA,1558.5
94,BGR,LTU,1448.9
95,BGR,LUX,1623.7
